ID,Year,Season,ID AND SEASON,August BODY WEIGHT,November BODY WEIGHT,August NO STEP VERTICAL,November NO STEP VERTICAL,August VERTICAL WATTS,November VERTICAL WATTS,August CLEAN,November CLEAN, August BENCH,November BENCH,August LIFT TOTAL,November LIFT TOTAL,August POUND 4 POUND,November POUND 4 POUND,August SQUAT,November SQUAT,Games Played,Games Started,Goals Scored,Assists,Goals + Assists,Shots,Shot% ,Goals while up,Goals while down,Ground Balls,Turnovers,Caused Turnovers
180,2013,2014,1802014,218,216,28.5,30,6634.77,6822.88,285,285,245,245,1000,1000,4.59,4.63,470,470,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,1 ,1 
180,2014,2015,1802015,209,207,28.5,30,6634.77,6822.88,285,295,285,320,970,1070,4.64,5.17,400,455,7,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,1 ,1 
180,2015,2016,1802016,213,225,27,27,6493.94,6493.94,315,345,335,335,1100,1130,5.16,5.02,450,450,9,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,3 ,0 ,1 
181,2013,2014,1812014,148,148,25.5,25.5,4986.3,4965.74,175,175,200,200,680,680,4.59,4.59,305,305,1,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
181,2014,2015,1812015,151,151,25.5,25.5,4986.3,4965.74,185,195,210,220,700,720,4.64,4.77,305,305,3,0 ,1 ,0 ,1 ,3 ,.333 ,0 ,0 ,0 ,0 ,0 
181,2015,2016,1812016,151,153,25.5,25.5,4971.91,4971.91,185,215,220,220,725,755,4.80,4.93,320,320,6,0 ,1 ,0 ,1 ,2 ,.500 ,0 ,0 ,1 ,1 ,0 
182,2012,2013,1822013,189,198,23.5,23.5,5621.3481,5621.3481,245,250,270,295,810,840,4.29,4.24,295,295,1,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
182,2013,2014,1822014,193,190,23.5,23.5,5621.3481,5621.3481,245,250,285,300,850,935,4.40,4.92,320,385,13,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,4 ,1 ,3 
182,2014,2015,1822015,197,197,23.5,23.5,5621.3481,5621.3481,265,265,300,300,955,955,4.85,4.85,390,390,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,0 
182,2015,2016,1822016,200,207,25.5,25.5,5995.48,5995.48,275,300,305,305,945,970,4.73,4.69,365,365,17,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,8 ,4 ,0 
183,2012,2013,1832013,171,169,25,28,5182.57,5562.89,205,205,215,225,730,740,4.27,4.38,310,310,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
183,2013,2014,1832014,167,165,25,28,5182.57,5562.89,225,225,235,235,755,785,4.52,4.76,295,325,4,0 ,1 ,0 ,1 ,1 ,1.000 ,0 ,0 ,0 ,1 ,0 
183,2014,2015,1832015,165,161,25,28,5182.57,5562.89,235,250,225,250,790,870,4.79,5.40,330,370,5,0 ,0 ,2 ,2 ,1 ,.000 ,0 ,0 ,0 ,0 ,0 
183,2015,2016,1832016,164,169,27.5,27.5,5559.79,5559.79,250,260,255,255,870,880,5.30,5.21,365,365,6,0 ,0 ,1 ,1 ,1 ,.000 ,0 ,0 ,0 ,3 ,0 
184,2012,2013,1842013,177,178,23,24.5,5393.51,6541.32,205,205,255,240,765,750,4.32,4.21,305,305,9,0 ,2 ,1 ,3 ,9 ,.222 ,0 ,0 ,2 ,1 ,0 
184,2013,2014,1842014,194,192,23,24.5,5393.51,6541.32,215,230,265,265,810,835,4.18,4.35,330,340,9,0 ,0 ,1 ,1 ,0 ,.000 ,0 ,0 ,0 ,1 ,0 
184,2014,2015,1842015,185,183,23,24.5,5393.51,6541.32,215,235,245,265,725,810,3.92,4.43,265,310,6,0 ,2 ,0 ,2 ,6 ,.333 ,0 ,0 ,2 ,2 ,1 
184,2015,2016,1842016,174,178,23,23,5065.36,5065.36,215,215,245,245,725,725,4.17,4.07,265,265,11,0 ,2 ,0 ,2 ,8 ,.250 ,0 ,0 ,3 ,5 ,3 
185,2014,2015,1852015,191,192,25.5,25,5808.44,5743.68,225,225,210,245,700,735,3.66,3.83,265,265,1,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
186,2012,2013,1862013,181,175,30.5,30.5,6271.03,6271.03,240,255,225,235,825,900,4.56,5.14,360,410,21,0 ,1 ,1 ,2 ,2 ,.500 ,0 ,0 ,24 ,6 ,6 
186,2013,2014,1862014,175,179,30.5,30.5,6271.03,6271.03,265,250,225,250,850,895,4.86,5.00,360,395,17,0 ,0 ,1 ,1 ,1 ,.000 ,0 ,0 ,28 ,1 ,9 
186,2014,2015,1862015,176,176,30.5,30.5,6271.03,6271.03,245,245,240,240,875,875,4.97,4.97,390,390,12,1 ,1 ,2 ,3 ,2 ,.500 ,0 ,0 ,46 ,7 ,18 
187,2012,2013,1872013,167,166,23.5,26,5220.55,5558.73,185,185,210,215,655,680,3.92,4.10,260,280,8,0 ,0 ,1 ,1 ,1 ,.000 ,0 ,0 ,3 ,1 ,0 
